name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,Brand
Richard Swift,Secret Identity,Neutral Characters,Grey,Black,Living Characters,126,"1942, September",1942,DC
Brock Rumlow,Secret Identity,Bad Characters,Brown,Black,Living Characters,126,Oct-89,1989,Marvel
Frederick Freeman,Secret Identity,Good Characters,Blue,Black,Living Characters,125,"1995, May",1995,DC
Katar Hol,Secret Identity,Good Characters,Blue,Black,Living Characters,125,"1989, August",1989,DC
Richard Occult,Secret Identity,,Grey,Black,Living Characters,125,"1935, October",1935,DC
Paul Norbert Ebersol,Secret Identity,Neutral Characters,Brown,Black,Deceased Characters,125,Feb-66,1966,Marvel
Annihilus,No Dual Identity,Neutral Characters,Green,No,Living Characters,125,Nov-68,1968,Marvel
Red Sonja,Public Identity,Good Characters,Brown,Red,Deceased Characters,125,Feb-73,1973,Marvel
Jonathan Hart,Public Identity,Good Characters,Blue,Brown,Living Characters,125,Mar-76,1976,Marvel
Bambina Arbogast,No Dual Identity,Good Characters,Blue,Black,Living Characters,125,Jan-79,1979,Marvel
Sooraya Qadir,Secret Identity,Good Characters,Brown,Brown,Living Characters,125,02-Dec,2002,Marvel
Maxima,Public Identity,Good Characters,Brown,Red,Deceased Characters,124,"1989, September",1989,DC
Dawn Granger,Secret Identity,Good Characters,Blue,White,Living Characters,124,"1988, October",1988,DC
Inza Cramer,Secret Identity,Good Characters,Green,Strawberry Blond,Deceased Characters,124,"1940, May",1940,DC
Zeus Panhellenios,No Dual Identity,Neutral Characters,Blue,Red,Living Characters,124,Jun-49,1949,Marvel
Randolph Robertson,No Dual Identity,Good Characters,Brown,Black,Living Characters,124,Dec-68,1968,Marvel
Linda Danvers,Secret Identity,Good Characters,Blue,Blond,Living Characters,123,"1996, September",1996,DC
Dubbilex,Public Identity,Good Characters,Green,,Living Characters,123,"1971, March",1971,DC
Gunner MacKay,Public Identity,Good Characters,Blue,Blond,Deceased Characters,123,"1959, May",1959,DC
Antonia Monetti,Secret Identity,Good Characters,Blue,Black,Living Characters,122,"1996, October",1996,DC
Jack Knight,Public Identity,Good Characters,Black,Black,Living Characters,122,"1994, September",1994,DC
Skeets,Public Identity,Good Characters,,,Living Characters,122,"1986, February",1986,DC
Yao,Secret Identity,Good Characters,Brown,Bald,Living Characters,122,Jun-61,1961,Marvel
Agatha Harkness,No Dual Identity,Good Characters,Blue,White,Deceased Characters,122,Jan-70,1970,Marvel
Jack Tarr,Secret Identity,,Black,Black,Living Characters,122,Apr-74,1974,Marvel
Katherine Bishop,Public Identity,Good Characters,Blue,Black,Living Characters,122,05-Apr,2005,Marvel
Nimue Inwudu,Public Identity,Good Characters,Green,Black,Living Characters,121,"1978, February",1978,DC
Khaji Da,Secret Identity,Good Characters,,,Living Characters,121,"1964, June",1964,DC
Sarge Clay,Public Identity,Good Characters,Blue,Strawberry Blond,Deceased Characters,121,"1959, May",1959,DC
Jason Wyngarde,Secret Identity,Bad Characters,Brown,Grey,Deceased Characters,121,Mar-64,1964,Marvel
Walter Newell,Public Identity,Good Characters,Hazel,Brown,Living Characters,121,Sep-67,1967,Marvel
Joanna Cargill,Secret Identity,Good Characters,Brown,Black,Living Characters,121,May-86,1986,Marvel
Parker Robbins,Secret Identity,Bad Characters,Brown,Brown,Living Characters,121,02-Jul,2002,Marvel
Elizabeth Lawrence,Secret Identity,,Blue,Blond,Living Characters,120,"1942, December",1942,DC
Rocket Raccoon,No Dual Identity,Good Characters,Brown,Black,Living Characters,120,Jun-76,1976,Marvel
Lyja,Secret Identity,Neutral Characters,Green,Green,Living Characters,120,Apr-84,1984,Marvel
Georges Batroc,No Dual Identity,Bad Characters,Brown,Black,Living Characters,119,Mar-66,1966,Marvel
Wyatt Wingfoot,Public Identity,Good Characters,Brown,Black,Living Characters,119,May-66,1966,Marvel
Henry Camp,Public Identity,Bad Characters,Brown,Black,Deceased Characters,119,Nov-74,1974,Marvel
Peter Quill,Secret Identity,Good Characters,Blue,Blond,Living Characters,119,Jan-76,1976,Marvel
Marrow (Sarah),Secret Identity,Neutral Characters,Blue,Red,Living Characters,119,Sep-94,1994,Marvel
Vision (Jonas),Public Identity,Good Characters,Gold,No,Deceased Characters,119,05-Aug,2005,Marvel
William Kaplan,Secret Identity,Good Characters,Brown,Black,Living Characters,119,05-Apr,2005,Marvel
Pallas Athena,Public Identity,Neutral Characters,Grey,Brown,Living Characters,118,"1958, May",1958,DC
George Stacy,Public Identity,Good Characters,Blue,White,Deceased Characters,118,Jan-68,1968,Marvel
Mari,Public Identity,Good Characters,Blue,Blond,Living Characters,118,Jan-79,1979,Marvel
Crispus Allen,Secret Identity,Good Characters,Brown,,Deceased Characters,116,"2000, March",2000,DC
Evan McCulloch,Secret Identity,Bad Characters,Brown,Brown,Living Characters,116,"1989, February",1989,DC
Terrence Long,Public Identity,Good Characters,Blue,Red,Deceased Characters,116,"1981, June",1981,DC
Todd Arliss,Secret Identity,Bad Characters,Grey,No,Living Characters,116,Sep-68,1968,Marvel
Hammerhead (Joseph),Secret Identity,Bad Characters,Blue,Black,Living Characters,116,Oct-72,1972,Marvel
Strata,Public Identity,Good Characters,White,,Living Characters,115,"1989, February",1989,DC
Granny Goodness,Public Identity,Bad Characters,Blue,White,Deceased Characters,115,"1971, June",1971,DC
Dolphin,,Good Characters,Blue,Silver,Deceased Characters,115,"1968, December",1968,DC
Zeus,Public Identity,Neutral Characters,Blue,White,Living Characters,115,"1941, December",1941,DC
Heinrich Zemo,Public Identity,Bad Characters,Blue,Grey,Deceased Characters,115,Mar-64,1964,Marvel
Emil Blonsky,Secret Identity,Bad Characters,Blue,Blond,Living Characters,115,Apr-67,1967,Marvel
Arcturus Rann,Public Identity,Good Characters,Brown,Brown,Living Characters,115,Jan-79,1979,Marvel
Holly Robinson,Secret Identity,Good Characters,Blue,Red,Living Characters,114,"1987, February",1987,DC
James Woo,Public Identity,Good Characters,Brown,Black,Living Characters,114,Oct-56,1956,Marvel
Frank Drake,No Dual Identity,Good Characters,Blue,Blond,Living Characters,114,Apr-72,1972,Marvel
Callisto,Secret Identity,Neutral Characters,Blue,Black,Living Characters,114,May-83,1983,Marvel
Martha Kane,Public Identity,Good Characters,Blue,Black,Deceased Characters,113,"1987, February",1987,DC
Jason Woodrue,Public Identity,Bad Characters,Red,Green,Living Characters,113,"1962, July",1962,DC
John Sargent,Secret Identity,Good Characters,Brown,Brown,Deceased Characters,113,"1941, May",1941,DC
Dian Belmont,Public Identity,Good Characters,Hazel,Brown,Deceased Characters,113,"1940, February",1940,DC
Dorma,No Dual Identity,Neutral Characters,Blue,Auburn,Deceased Characters,113,Oct-39,1939,Marvel
Lonnie Lincoln,Public Identity,Bad Characters,Pink,White,Living Characters,113,Mar-88,1988,Marvel
Doop,No Dual Identity,Good Characters,Variable,Black,Living Characters,113,01-Jul,2001,Marvel
David Alleyne,Secret Identity,Good Characters,Brown,Black,Living Characters,113,03-Oct,2003,Marvel
Hepzibah,Secret Identity,Good Characters,Green,White,Living Characters,112,Oct-77,1977,Marvel
Charlie Cluster-7,Secret Identity,Neutral Characters,Blue,Black,Living Characters,112,02-Aug,2002,Marvel
Edward Bloomberg,Secret Identity,Good Characters,Yellow,Grey,Deceased Characters,111,"1984, June",1984,DC
Leslie Thompkins,Public Identity,Good Characters,Blue,White,Living Characters,111,"1976, March",1976,DC
Samuel Sawyer,Public Identity,Good Characters,Blue,Grey,Deceased Characters,111,May-63,1963,Marvel
Jacques Duquesne,Known to Authorities Identity,Good Characters,Blue,Black,Living Characters,111,Aug-65,1965,Marvel
Arcade,Secret Identity,Bad Characters,Blue,Red,Living Characters,111,Jan-78,1978,Marvel
Mary Walker,Secret Identity,Bad Characters,Brown,Brown,Living Characters,111,May-88,1988,Marvel
Miguel Santos,Secret Identity,Good Characters,Brown,Black,Living Characters,111,Oct-90,1990,Marvel
Tara Markov (Team Titans),Secret Identity,Good Characters,Blue,Blond,Deceased Characters,110,1991,1991,DC
Dmitri Pushkin,Secret Identity,Good Characters,Brown,Brown,Deceased Characters,110,"1987, February",1987,DC
June Moone,Secret Identity,Good Characters,Green,Black,Living Characters,110,"1966, April",1966,DC
Christopher Summers,Public Identity,Good Characters,Brown,Brown,Living Characters,110,Apr-77,1977,Marvel
Morris Bench,Public Identity,Bad Characters,Brown,Brown,Living Characters,110,Jan-81,1981,Marvel
Mia Dearden,Secret Identity,Good Characters,Blue,Blond,Living Characters,109,"2001, May",2001,DC
Krypto,Secret Identity,Good Characters,Blue,White,Living Characters,109,"1955, March",1955,DC
Ohiyesa I,Public Identity,Good Characters,Black,Black,Living Characters,109,"1949, September",1949,DC
Donald Richards,Secret Identity,Good Characters,Brown,Brown,Deceased Characters,109,"1942, March",1942,DC
David Cannon,Public Identity,Bad Characters,Blue,Brown,Living Characters,109,Dec-63,1963,Marvel
Prosh,Secret Identity,Good Characters,Variable,No,Living Characters,109,Jan-88,1988,Marvel
Zauriel,Public Identity,Good Characters,Red,White,Living Characters,108,"1997, June",1997,DC
Leonid Kovar,Secret Identity,Good Characters,Green,Blond,Living Characters,108,"1968, December",1968,DC
Thomas Blake,Secret Identity,Neutral Characters,Blue,Blond,Living Characters,108,"1963, January",1963,DC
Roderick Kingsley,Public Identity,Bad Characters,Blue,Grey,Living Characters,108,Jun-80,1980,Marvel
Dominikos Petrakis,Secret Identity,Neutral Characters,Brown,Brown,Deceased Characters,108,Jan-81,1981,Marvel
St. John Allerdyce,Secret Identity,Neutral Characters,Blue,Blond,Living Characters,108,Jan-81,1981,Marvel
Mary MacPherran,Secret Identity,Bad Characters,Blue,Strawberry Blond,Living Characters,108,Jul-84,1984,Marvel
Rita Wayword,Secret Identity,Neutral Characters,White,Silver,Living Characters,108,Sep-85,1985,Marvel
Angelo Espinosa,Secret Identity,Good Characters,Brown,Black,Deceased Characters,108,Oct-94,1994,Marvel
Layla Miller,No Dual Identity,Good Characters,Green,Blond,Living Characters,108,05-Sep,2005,Marvel
Emily Briggs,Public Identity,Good Characters,Blue,Red,Living Characters,107,"1985, September",1985,DC
Lilith Clay,Secret Identity,Good Characters,Green,Strawberry Blond,Deceased Characters,107,"1970, February",1970,DC
Leland Owlsley,Public Identity,Bad Characters,Blue,Brown,Living Characters,107,Aug-64,1964,Marvel
Karl Lykos,Secret Identity,Bad Characters,Brown,Brown,Living Characters,107,Aug-69,1969,Marvel
Jason Macendale Jr.,Secret Identity,Bad Characters,Brown,Black,Deceased Characters,107,Feb-81,1981,Marvel
Thomas Tresser,Secret Identity,Good Characters,Blue,Blond,Living Characters,106,"1980, September",1980,DC
Hans von Hammer,Public Identity,Good Characters,Blue,Red,Living Characters,106,"1965, February",1965,DC
William Polk,Secret Identity,Good Characters,Blue,Brown,Living Characters,106,"1948, February",1948,DC
Clay Harder,Public Identity,Good Characters,Blue,Blond,Living Characters,106,Mar-48,1948,Marvel
Frigga,Secret Identity,Good Characters,Blue,White,Living Characters,106,May-63,1963,Marvel
Ikaris (Eternal),Secret Identity,Good Characters,Blue,Blond,Living Characters,106,Jul-76,1976,Marvel
Jack Power,Secret Identity,Good Characters,Blue,Brown,Living Characters,106,Aug-84,1984,Marvel
Katherine Power,Secret Identity,Good Characters,Blue,Strawberry Blond,Living Characters,106,Aug-84,1984,Marvel
Lyla Michaels,Public Identity,Good Characters,Green,Blond,Deceased Characters,105,"1982, July",1982,DC
Bruce Gordon,Public Identity,Good Characters,,Brown,Living Characters,105,"1963, July",1963,DC
Sugar Plumm,,Good Characters,,Blond,Living Characters,105,"1956, May",1956,DC
Jervis Tetch,Secret Identity,Bad Characters,Blue,Red,Living Characters,105,"1948, October",1948,DC
Sharon Ventura,Secret Identity,Good Characters,Blue,Red,Living Characters,105,Sep-85,1985,Marvel
Nico Minoru,Secret Identity,Good Characters,Brown,Black,Living Characters,105,03-Jul,2003,Marvel
Enya Wazzo,Secret Identity,Good Characters,Blue,Black,Living Characters,104,"1989, November",1989,DC
Werner Vertigo,Secret Identity,Neutral Characters,Blue,Blond,Living Characters,104,"1978, July",1978,DC
Sapphire Stagg,,Neutral Characters,Blue,Blond,Living Characters,104,"1965, January",1965,DC
Zinda Blake,Secret Identity,Good Characters,Blue,Blond,Living Characters,104,"1959, February",1959,DC
Cecil Wilson,,Good Characters,,Red,Living Characters,104,"1956, May",1956,DC
Aphrodite,Public Identity,Neutral Characters,Blue,Blond,Living Characters,104,"1941, December",1941,DC
Clive Reston,Public Identity,,Blue,Grey,Living Characters,104,Mar-75,1975,Marvel
Idie Okonkwo,Public Identity,Good Characters,Blue,Black,Living Characters,104,10-Nov,2010,Marvel
Sarah Essen,Public Identity,Good Characters,Blue,Blond,Deceased Characters,103,"1987, March",1987,DC
Jade Nguyen,Secret Identity,Bad Characters,Green,Black,Living Characters,103,"1983, August",1983,DC
Rip Hunter,Secret Identity,,Blue,Blond,Living Characters,103,"1959, June",1959,DC
Wing How,Secret Identity,Good Characters,Brown,Black,Living Characters,103,"1938, October",1938,DC
Robert Frank,Secret Identity,Good Characters,Brown,Grey,Deceased Characters,103,Aug-41,1941,Marvel
Elizabeth Twoyoungmen,Secret Identity,Good Characters,Brown,Black,Living Characters,103,Dec-83,1983,Marvel
Everett Thomas,Secret Identity,Good Characters,Brown,Bald,Deceased Characters,103,Sep-94,1994,Marvel
Danger,No Dual Identity,Good Characters,,No,Living Characters,103,05-Mar,2005,Marvel
Dorrek VIII,Public Identity,Good Characters,Blue,Blond,Living Characters,103,05-Apr,2005,Marvel
Amadeus Cho,No Dual Identity,Good Characters,Black,Black,Living Characters,103,06-Jan,2006,Marvel
Jack Drake,,Good Characters,Black,Brown,Deceased Characters,102,"1989, August",1989,DC
Vril Dox I,Secret Identity,Bad Characters,Green,,Living Characters,102,"1988, March",1988,DC
Phillip Masters,Public Identity,Bad Characters,Brown,Bald,Deceased Characters,102,Nov-62,1962,Marvel
Adolf Hitler,Public Identity,Bad Characters,Brown,Brown,Deceased Characters,101,"1942, March",1942,DC
Joshua Foley,Secret Identity,Good Characters,Blue,Blond,Living Characters,101,03-Nov,2003,Marvel
Grace Choi,Secret Identity,Good Characters,Brown,Red,Living Characters,100,"2003, August",2003,DC
Lawrence Jordan,Secret Identity,,Brown,Brown,Deceased Characters,100,"1942, February",1942,DC
Karl Mordo,Secret Identity,Bad Characters,Brown,Black,Deceased Characters,100,Aug-63,1963,Marvel
Eternity,Secret Identity,Neutral Characters,Black,No,Living Characters,100,Nov-65,1965,Marvel
William Foster,Secret Identity,,Brown,Black,Deceased Characters,100,Sep-66,1966,Marvel
Leiko Wu,Secret Identity,Good Characters,Blue,Black,Deceased Characters,100,Oct-75,1975,Marvel
Chase Stein,No Dual Identity,Good Characters,Blue,Blond,Living Characters,100,03-Jul,2003,Marvel
Howard Hanover,Public Identity,,,Black,Living Characters,100,,,Marvel
taz manian,Syntaz,Bad Characters,Earth-616,Brown Eyes,Black Hair,Living Characters,1,O7-OCT,2018,Marvel
